RefSeq Protein Accession	Gene ID
NP_001001716	-
NP_001002840	-
NP_001013761	-
NP_001019839	-
NP_001020373	-
NP_001036011	64756
NP_001073582	-
NP_001073877	283571
NP_001073878	7652
NP_001073999	-
NP_001094383	23241
NP_001123369	-
NP_001128687	64288
NP_001129515	81556
NP_001129743	137814
NP_001138601	-
NP_001140165	-
NP_001155048	23034
NP_001161438	-
NP_001177635	100463487
NP_001184026	5646
NP_001185903	100526772
NP_001186211	987
NP_001191286	-
NP_001193470	832
NP_001193986	-
NP_001229530	-
NP_001229531	-
NP_001229532	-
NP_001229620	-
NP_001229688	-
NP_001229708	-
NP_001229776	81847
NP_001229777	81847
NP_003973	9056
NP_004235	9332
NP_005670	9013
NP_006665	-
NP_037502	-
NP_055971	23186
NP_056404	23034
NP_057202	51667
NP_060019	54749
NP_060279	-
NP_060735	55765
NP_061160	55911
NP_061864	-
NP_073582	64756
NP_075057	-
NP_110427	-
NP_115543	92017
NP_149033	-
NP_647610	9013
NP_665916	64288
NP_861463	3784
NP_872286	51004
NP_892025	-
NP_950244	-
NP_981961	9332
NP_982269	23457
NP_996739	-
XP_001127004	-
XP_001717517	-
XP_001718532	-
XP_001720212	-
XP_001722606	-
XP_001724174	-
XP_001726744	-
XP_002344435	-
XP_003118763	-
XP_003118792	-
XP_003119014	-
XP_003119064	-
XP_003119653	-
XP_003403455	-
XP_003403466	-
XP_003403587	-
XP_003403588	-
XP_003403589	-
XP_003403605	-
XP_003403606	-
XP_003403607	-
XP_003403608	-
XP_003403609	-
XP_003403610	-
XP_003403611	-
XP_003403612	-
XP_003403613	-
XP_003403614	-
XP_003403615	-
XP_003403616	-
XP_003403617	-
XP_003403618	-
XP_003403619	-
XP_003403622	-
XP_003403623	-
XP_003403624	-
XP_003403629	-
XP_003403630	-
XP_003403631	-
XP_003403632	-
XP_003403633	-
XP_003403634	-
XP_003403635	-
XP_003403636	-
XP_003403637	-
XP_003403638	-
XP_003403639	-
XP_003403646	-
XP_003403647	-
XP_003403648	-
XP_003403649	-
XP_003403650	-
XP_003403651	-
XP_003403652	-
XP_003403653	-
XP_003403654	-
XP_003403655	-
XP_003403656	-
XP_003403657	-
XP_003403658	-
XP_003403661	-
XP_003403662	-
XP_003403691	-
XP_003403729	-
XP_003403735	-
XP_003403738	-
XP_003403753	-
XP_003403761	-
XP_003403762	-
XP_003403766	-
XP_003403768	-
XP_003403769	-
XP_003403789	-
XP_003403794	-
XP_003403795	-
XP_003403804	-
XP_003403805	-
XP_003403826	-
XP_003403837	-
XP_003403874	-
XP_003403875	-
XP_003403877	-
XP_003403903	-
XP_003403911	-
XP_003403912	-
XP_003403913	-
XP_003403914	-
XP_003403915	-
XP_003403916	-
XP_003403917	-
XP_003403918	-
XP_003403919	-
XP_003403920	-
XP_003403921	-
XP_003403922	-
XP_003403923	-
XP_003403924	-
XP_211174	-
XP_373945	-
XP_938714	-
YP_003024026	4535
YP_003024027	4536
YP_003024028	4512
YP_003024029	4513
YP_003024030	4509
YP_003024031	4508
YP_003024032	4514
YP_003024033	4537
YP_003024034	4539
YP_003024035	4538
YP_003024036	4540
YP_003024037	4541
YP_003024038	4519
